DOMAIN,ID,LAST_UPDATED,FULL_NAME,GENDER,INSURANCE_INFORMATION,LAST_NAME,LEVEL_OF_CARE_NEEDED,LOCK_IN_STATUS,LOCK_OUT_STATUS,LOCK_STATUS,MEDICAID_ID,MIDDLE_INITIAL,MIDDLE_NAME,NO_SOCIAL_SECURITY_NUMBER_REASON,NO_SOCIAL_SECURITY_NUMBER_REASON_OTHER,NON_DUPLICATE_CASE_IDS,OPEN_TS,OWNER_ID,POTENTIAL_DUPLICATE_CASE_IDS,POTENTIAL_DUPLICATE_INDEX_CASE_IDS,PREEXISTING_MEDICAL_CONDITIONS,PRESCRIPTION,PRIORITY_POPULATION,PROFILE_CHECKS,PROVISIONAL_DIAGNOSIS,REASON_FOR_SEEKING_CARE,REFERRER_HQ_USER_ID,REFERRER_NAME,SOCIAL_SECURITY_NUMBER,SYMPTOMS,TYPE_OF_CARE,WAITING_FOR_A_REFERRAL_SINCE_DATE,WITHDRAWN_TS,RESOURCE_URI,SERVER_DATE_MODIFIED,SERVER_DATE_OPENED,USER_ID,CASE_ID,CLOSED,CLOSED_BY,DATE_CLOSED,DATE_MODIFIED,INDEXED_ON,PARENT_CASE_TYPE,PARENT_RELATIONSHIP,OPENED_BY,ACTIVE_ADMISSION_CLINIC_ID,ADDITIONAL_DETAILS,ADDRESS_CITY,ADDRESS_COUNTY,ADDRESS_FULL,ADDRESS_LATITUDE,ADDRESS_LONGITUDE,ADDRESS_MAP_COORDINATES,ADDRESS_STATE,ADDRESS_STREET,ADDRESS_ZIP,ADMISSION_DATE,ADMISSION_TIME,AGE,AGE_RANGE,CARE_COORDINATION_ESCALATION,CASE_NAME,CASE_TYPE,CENTRAL_REGISTRY,CLIENT_ID,CLIENT_PLACED_TS,CLOSED_TS,COMMCARE_EMAIL_ADDRESS,CONSENT_COLLECTED,CONTACT_PHONE_NUMBER,CURRENT_MEDICATIONS,CURRENT_STATUS,DATE_OPENED,DECEASED,DECEASED_NOTES,DISCHARGE_DATE,DISCHARGE_TIME,DOB,DUAL_ADMISSION_ATTEMPT_COUNT,DUAL_ADMISSION_ATTEMPT_MOST_RECENT_DATE,DUAL_ADMISSION_ATTEMPT_MOST_RECENT_TIME,DUAL_ADMISSION_ATTEMPTED,DUPLICATE_CASE_IDS,DUPLICATE_PRIMARY_CASE_ID,ESCALATED_TS,EXTERNAL_ID,FIRST_NAME,PARENT_CASE_ID,CLIENT_PLACED_DATE,MEDICATION_ASSISTED_TREATMENT_DETAILS,SUBSTANCE_USE_INFORMATION,WITHDRAWAL_SYMPTOMS,ASAM_LEVEL,WITHDRAWN_TS_DATE,CLOSED_TS_DATE,CLIENT_PLACED_TS_DATE,LOCK_IN_CLINIC_IDS,LOCK_OUT_CLINIC_IDS,LOCK_OUT_CASE_IDS,LOCK_IN_CASE_IDS,REFERRER_ADDITIONAL_CONTACT_DETAILS,REFERRER_PHONE_NUMBER_EXT,REFERRER_PHONE_NUMBER
co-carecoordination-test,00c66508-4e2c-4a37-96ec-76c1a147006e,2025-09-16 10:40:44.927,,transgender_man_trans_masculine,Test,,Test,,,,,,,,,,20347.293268460650,d4466a97901a438f927ebae2bcfbaa4d,,,Test,,,involuntary veteran criminal_justice_involved,Test,Test,1486b54b873b4a9db0a9a1034741dfb3,Referrals Facility User A,,Test,substance_use,2025-09-16,,,2025-09-16 07:02:18.574,2025-09-16 07:02:18.574,1486b54b873b4a9db0a9a1034741dfb3,00c66508-4e2c-4a37-96ec-76c1a147006e,false,,,2025-09-16 07:02:18.469,2025-09-16 07:02:25.843,,,1486b54b873b4a9db0a9a1034741dfb3,,Test,,,,,,,,,,,,61,adults,,client_profile,client,false,Polar-Express-00C665,,,,,,Test,open,2025-09-16 07:02:18.469,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,
co-carecoordination-test,99b3a91d-47f1-4b1c-815c-d16b6db4c314,2025-05-16 10:40:44.951,,,,2025,,,,,,,,client_does_not_have_ssn,,81580f84-f4e8-402d-86fc-6b135354921b,,d4466a97901a438f927ebae2bcfbaa4d,,,,,,,,,,,,,,,,,2025-05-16 05:54:34.851,2025-05-16 05:20:51.929,d3da19206518417a922fddc7ff858411,99b3a91d-47f1-4b1c-815c-d16b6db4c314,false,,,2025-05-16 05:54:34.792,2025-05-16 05:54:35.132,pending_admission,extension,e0df23f4296741b2878f6b8287fe0312,,,,,,,,,,,,,,,,,16th aym 2025,client,true,,,,,true,,,discharged,2025-05-16 05:20:51.798,,,,,1986-01-01,,,,,,,,,16th aym,5bacaada-eb5b-4487-8fb6-a4c54d98f259,,,,,,,,,,,,,,,
co-carecoordination-test,23f5a161-de60-46fb-a6a9-0907ee1a6acf,2025-06-18 10:40:45.044,,,,2025 june,,,,,,,,client_does_not_have_ssn,,,,d4466a97901a438f927ebae2bcfbaa4d,,,,,,,,,,,,,,,,,2025-06-18 06:06:41.717,2025-06-18 05:35:41.888,d3da19206518417a922fddc7ff858411,23f5a161-de60-46fb-a6a9-0907ee1a6acf,false,,,2025-06-18 06:06:41.545,2025-06-18 06:06:47.693,,,d9b707fa0e3149c6a3db84b1d3d492db,0c4041a08c664e94b6762ff13528291f,,,,,,,,,,,,,,,,18th 2025 june,client,true,,,,,true,,,admitted,2025-06-18 05:35:41.664,,,,,1994-01-01,,,,,892e22a8763443228ddd5bbfefc5a71d 66d4493ad9c9477e8e8ecb2e4339f014,,,,18th,,,,,,,,,,,,,,,,
co-carecoordination-test,5d41da9a-56d1-43d5-a4dc-abc11f98e76c,2025-08-05 10:40:45.523,,,,Adams,,true,,,,,,client_does_not_have_ssn,,ed97d15e-ed8c-47ab-be71-8d81fc15cc03 25ac4aef-0efe-4817-bd27-e26df1ab3516,,d4466a97901a438f927ebae2bcfbaa4d,,,,,,,,,,,,,,,,,2025-08-05 09:46:29.096,2025-06-18 05:46:17.450,d3da19206518417a922fddc7ff858411,5d41da9a-56d1-43d5-a4dc-abc11f98e76c,true,d3da19206518417a922fddc7ff858411,2025-08-05 09:46:29.024,2025-08-05 09:46:29.024,2025-08-05 09:46:36.854,,,d3da19206518417a922fddc7ff858411,830b34dcba004e6a89a725e7727751bf,,,,,,,,,,,,,,,,30th Adams,client,true,,,,,true,,,admitted,2025-06-18 05:46:17.390,,,,,2023-06-01,,,,,f2de9156-6e04-41bc-a9c6-11ecd491cb69 d8f16c0d-063b-463b-881a-356f64064b0c,e3a22891-ab8f-470e-9b3e-9a8740148dd5,,,30th,,,,,,,,,,830b34dcba004e6a89a725e7727751bf,,,,,,
co-carecoordination-test,9ea6370bbfe646e6be8d43e9ea6135a9,2024-05-20 18:52:46.989,,,,Durham,,,,,,,,,,,,d4466a97901a438f927ebae2bcfbaa4d,,,,,,,,,,,458-76-9345,,,,,,2024-05-20 18:51:56.546,2022-07-11 19:22:35.483,4dc757abe136d63f65b43ee6a7afd619,9ea6370bbfe646e6be8d43e9ea6135a9,false,,,2024-05-20 18:51:56.391,2024-05-20 18:52:28.768,,,35dd35d8989859a0443e8e26a094394c,10c298d1d0874ad9b3d3814a4a0ac271,,,,,,,,,,,,,,,,Courtney Durham,client,true,,,,,true,,,admitted,2022-07-11 19:22:35.452,,,,,1984-02-09,,,,,,,,AC103184TT64,Courtney,,,,,,,,,,,,,,,,
co-carecoordination-test,9ed09efd-b802-48dd-a669-ec240d0e08df,2024-05-20 18:53:08.693,,,,AB,,,,,,,,client_does_not_know_ssn,,,,d4466a97901a438f927ebae2bcfbaa4d,,,,,,,,,,,,,,,,,2024-05-20 18:51:56.546,2022-08-08 12:46:09.545,4dc757abe136d63f65b43ee6a7afd619,9ed09efd-b802-48dd-a669-ec240d0e08df,true,9694ae0986f7759ad22add17fb02050c,2022-08-12 20:02:39.123,2024-05-20 18:51:56.434,2024-05-20 18:52:52.178,,,3d2eab35a4624a77883673625a9037c5,,,,,,,,,,,,,,,,,A AB,client,true,,,,,true,,,,2022-08-08 12:46:09.400,,,,,2020-01-01,,,,,,,,,A,,,,,,,,,,,,,,,,
co-carecoordination-test,01b9ad94-ea1a-4b55-94fd-b2402582c96d,2024-10-11 16:40:44.858,,men,,,wdefger,,,,,,,,,,19948.348071608798,d4466a97901a438f927ebae2bcfbaa4d,,,,,,,,erfgtwefrg,1486b54b873b4a9db0a9a1034741dfb3,Referrals Facility User A,,wfegrth,,2024-08-13,19948.34842033565,,2024-10-11 16:14:07.803,2024-08-13 08:21:13.668,6e890525012886fd92a84a6c417a6fb4,01b9ad94-ea1a-4b55-94fd-b2402582c96d,false,,,2024-10-11 16:14:07.754,2024-10-11 16:14:11.294,,,1486b54b873b4a9db0a9a1034741dfb3,,,,,,,,,,,,,,22,adults,,client_profile,client,false,IYD628RU,,,,,,,withdrawn,2024-08-13 08:21:13.442,,,,,,,,,,,,,,,,,,,,,2024-08-13 02:21:43.488,,,,,,,,,
co-carecoordination-test,01446cbe-d944-4eae-83d4-aa1174af28fe,2024-08-12 05:40:44.964,,option_not_listed,teste,,test,,,,,,,,,,19947.231328738428,d4466a97901a438f927ebae2bcfbaa4d,,,test,,teste,veteran criminal_justice_involved,test,test,90683cdc866544b79819cd77e7c7914d,bha_test_users+client_care_search_out_and_in_referrals_sp25,,test,,2024-08-12,,,2024-08-12 05:33:07.135,2024-08-12 05:33:07.135,90683cdc866544b79819cd77e7c7914d,01446cbe-d944-4eae-83d4-aa1174af28fe,false,,,2024-08-12 05:33:06.849,2024-08-12 05:34:03.396,,,90683cdc866544b79819cd77e7c7914d,,test,,,,,,,,,,,,21,adults,,client_profile,client,false,L1JLKO0O,,,,,,test,open,2024-08-12 05:33:06.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co-carecoordination-test,0392e369-caab-451d-97c8-97e96b15558e,2024-11-11 06:40:44.937,,transgender_man_trans_masculine,dfgbhnmj,,wegrty,,,,,,,,,,20038.238229571758,d4466a97901a438f927ebae2bcfbaa4d,,,wergthyj,,,involuntary veteran pregnant criminal_justice_involved,qwer4t5y,sdwefrgthyj,1486b54b873b4a9db0a9a1034741dfb3,Referrals Facility User A,,rgt,both,2024-11-11,,,2024-11-11 05:54:11.032,2024-11-11 05:43:03.275,1486b54b873b4a9db0a9a1034741dfb3,0392e369-caab-451d-97c8-97e96b15558e,false,,,2024-11-11 05:54:10.933,2024-11-11 05:54:12.906,,,1486b54b873b4a9db0a9a1034741dfb3,,,,,,,,,,,,,,36,adults,,client_profile,client,false,AJH4TOIR,20038.245959432872,,,,,asdfghj,client_placed,2024-11-11 05:43:03.108,,,,,,,,,,,,,,,,2024-11-11,wr4t5y,teagrf,qwerty,,,,2024-11-11 11:24:10.896,,,,,,,
co-carecoordination-test,99b3a91d-47f1-4b1c-815c-d16b6db4c314,2025-05-16 10:40:44.951,,,,2025,,,,,,,,client_does_not_have_ssn,,81580f84-f4e8-402d-86fc-6b135354921b,,d4466a97901a438f927ebae2bcfbaa4d,,,,,,,,,,,,,,,,,2025-05-16 05:54:34.851,2025-05-16 05:20:51.929,d3da19206518417a922fddc7ff858411,99b3a91d-47f1-4b1c-815c-d16b6db4c314,false,,,2025-05-16 05:54:34.792,2025-05-16 05:54:35.132,pending_admission,extension,e0df23f4296741b2878f6b8287fe0312,,,,,,,,,,,,,,,,,16th aym 2025,client,true,,,,,true,,,discharged,2025-05-16 05:20:51.798,,,,,1986-01-01,,,,,,,,,16th aym,5bacaada-eb5b-4487-8fb6-a4c54d98f259,,,,,,,,,,,,,,,
